Gender0Female,Gender1Male,Gender0None,Place,Year,NumberOfAuthors,Conference,Gender1Female,Gender0Male,Gender3,Gender4,Gender5,Gender6,Gender7,Gender8,Gender9,Gender10,Gender11,Gender10,Gender13,Gender14,Gender15,Gender16,Gender17
1,0,0,Germany,8,1,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,Germany,8,1,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,Germany,8,0,SMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Germany,8,1,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Germany,8,1,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Germany,8,0,SMC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Germany,8,1,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Germany,8,1,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Germany,8,3,SMC,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Germany,8,14,SMC,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0
0,1,0,Germany,8,0,SMC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Germany,8,1,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Germany,8,0,SMC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Germany,8,0,SMC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Germany,8,0,SMC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Portugal,9,4,SMC,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Portugal,9,0,SMC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Portugal,9,5,SMC,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Portugal,9,5,SMC,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Portugal,9,0,SMC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Portugal,9,0,SMC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Portugal,9,0,SMC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Portugal,9,0,SMC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Portugal,9,0,SMC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Portugal,9,1,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Portugal,9,0,SMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Portugal,9,0,SMC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Portugal,9,1,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Portugal,9,4,SMC,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Portugal,9,1,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Portugal,9,0,SMC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Portugal,9,5,SMC,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Portugal,9,1,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Portugal,9,4,SMC,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Portugal,9,0,SMC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Portugal,9,0,SMC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Portugal,9,1,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Portugal,9,1,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Portugal,9,1,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Portugal,9,3,SMC,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Portugal,9,0,SMC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Portugal,9,0,SMC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Portugal,9,4,SMC,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Portugal,9,4,SMC,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,Portugal,9,0,SMC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Portugal,9,3,SMC,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Portugal,9,3,SMC,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,Portugal,9,4,SMC,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,Portugal,9,3,SMC,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Portugal,9,0,SMC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Portugal,9,4,SMC,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
