Gender0Female,Gender1Male,Gender0None,Place,Year,NumberOfAuthors,Conference,Gender2,Gender3,Gender4,Gender5,Gender6,Gender7,Gender8,Gender9,Gender10,Gender11,Gender12,Gender13,Gender14,Gender15,Gender16,Gender17
0,1,0,Portugal,2009,3,SMC,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Portugal,2009,3,SMC,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Portugal,2009,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Portugal,2009,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Portugal,2009,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1,0,0,Portugal,2009,5,SMC,1,1,1,1,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Portugal,2009,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Portugal,2009,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Portugal,2009,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Portugal,2009,3,SMC,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Portugal,2009,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Portugal,2009,3,SMC,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Portugal,2009,3,SMC,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0,1,0,Portugal,2009,2,SMC,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
